,Comments
317,Bhai I'm so unlucky ki me apka channel itta late explore kiya... Really man super duper amazing... Love you bro you and your work 💞🤩
318,Love you sir 😘😘😘😘😘✨✨✨✨✨💖💖💖💝💝💝🥰🥰🥰🥰🥰🙈 kya bataun apko ❤️❤️❤️❤️❤️❤️apki simplicity ✨✨✨✨✨✨
319,26 August is my birthdate🥺
320,1:58 this section  the most relatable 😍🔥🔥
321,0:38 khtarnak bhai 😂😂😂
322,Bhaiya your level of videos are out of this world ❤️
323,Bhai maine ye aapki pahli video dekhi aur aapka long time subscriber ban gaya because aap aage bahut good content laane waale ho
324,"when im doing this comment, your comment count is 512. I dont know if anyone noticed this or not... But in this video i got to know which company you have got placed.... So congrats sir really happy to see this achivement at last you came out from that loop. congrats🤗🙂🎉🎊"
325,"Bhaiya I have done Schooling from Delhi but I live in Rohtak, Haryana. So do I get hostel in DTU? Bcz delhi students don't get hostels in DTU but i don't live in delhi i only have delhi quota"
326,The best editor in the world for me bro every video is like movie 🍿🎥
327,"Hey Ajay, I'm Prince working in Adobe. It would be great if you make a video on how to edit videos."
328,Price
329,Tabhi video editing bhaiya🔥🔥
330,Living the dream
331,"Inspiring bhai 🔥
Not coming SLOW"
332,Finally someone with quality and better story telling
333,Would you please let me know your editing software?
334,Speechless cinematography!
335,Bro u should try a career in cinematography and video editing...get out of this rat race.
336,Iss Nishant Chahar ko koi kaam dhandha nhi
337,This channel will blowup now
338,"Viewers be like :- bhaiya editing acchi h , story telling acchhi etc .

Ajay bhaiya :- JALWA HAI HUMARA YHAN .

LUV U BRO , U ALWAYS MOTIVATE ME ."
339,3:22 Destroyed 😂
340,The process is great...but the editing is exponential ❤️❤️♥️😗pyaar aagya
341,Itni edit m to bollywood ki action movie bnjae 😂💯❤️
342,"Bhaiya video dalo na , 1 hafta hogya h"
343,4k dal lo. Dekhni to 360 p hi h. Trueee 😂😂🤣
344,"congratulations bro ..
happy for you :-)"
345,NIT Kurukshetra EE vs DTU/NSUT ECE?
346,Bhayiya dtu mece mil raha hai placenta kaise hai pl🙏 reply
347,Bhai editing sikha do 😻😻😻
348,Ajay bhai hello . Next video kab ?
349,Bhaiya placement ka seen btao?
350,Last line gear upgrade krne k sth skill v upgread krna jaroori h 🔥🔥🔥
351,op edit in first half
352,"😊A DAY OF FIRST YEAR STUDENT AT IIIT-DELHI😔
https://www.youtube.com/watch?v=Zd7sBmv2mug"
353,Bhai camera ki place per iphone lete ya fir pixel wo bhi next level camera hai
354,Mai 240 mai dekh raha tha vaise
355,i will save this video as a motivation.
356,Bhai package ka idea to dedo batao my or company ka bhi hint dedo hm pata kar lenge 😂
357,Bhaiya 3rd attempt wale students ko bhi jee advance Dene ka chance hai TOI and NDTV per aaya h
358,Irfan junejo wala best tha
359,My CRL Rank-154438 And SC Rank-7879 Can I Get Nsut dtu IT or ECE
360,"Your voice is OP!!  
Like Shobhit nirwan. ...."
361,nice
362,Bhai editing gazab hai bhai
363,Yeh Sab Youtube money se buy kiya hai
364,Editing and narration next level 🔥🔥
365,mai 240 pe dekhta hu
366,Ajay bhai relationships toh MLM say bhi bada scam hai bach ke rahiyo
367,"Wow !! Just thinking about getting a good placement and everything settled in life (except girlfriend xD) and making that bucket list containing everything that we dreamt of and sacrificed till reaching that mark is so overwhelming and motivating .
We would then know , that whatever sacrifices we made would be worth it later in life. (2 years to get a good college and then enjoy the college life + working 4 years for placement and enjoying the rest of life ! )"
368,3:50 le me who tach videos in 144p 😅ye bhi theek ha😅
369,Bhaiya.... Meri obc-ncl rank 13000 hai (other state)  dtu me mechanical ya usse upar wali branch milne ke chances hai kya plzzz guide kr do...
370,Aapke bolne ka andaaz uspar cinematography and editing aha aha maja ajata hai
371,Price kitni hai???
372,Bhaiya branch wali series me chemical engineering pr video banaiye plz
373,Bhai meri 80 percentile ayi hai obc ncl Delhi kya ece mil payega dtu me plz reply
374,Bhai.... Congratulations for new camera ...
375,"Bro i have Asus vivobook 14 i5 10th gen 8gb ram 512gb ssd with no graphic card 
Can i do complex video editing in pr pro and aftereffect?🥺🥺🥺🥺"
376,Sheesh! This is perfect.
377,Congrats!
378,Bhai your editing is best on youtube
379,"Gotta tell, your cinematography has increased a lot📈"
380,Congratulations brother❤️
381,Make vedio on computer language zero level
382,great work
383,Story telling bhaut acha kar rahe ho bhai 👍👌
384,AJAY BHAI COMPANY NAME?
385,Editing op
386,Chumeshwari Story telling bro I'm going to copy u ❣️😜
387,really your editing skills have upgraded a lot.. keep growing man
388,love the new way of your videos nice upgrade in skill too
389,CONGRATULATIONS BRO
390,Bhai kitna ka package laga
391,Bhai konsi company me placed ho vo to bata do
392,Nishant Chahar
393,"Bro your skills are just mind-blowing. I don't watch vlogs and all kisi ka bhi nai, not even flying beast. Lekin ek baar Galti se tumhara video aa gaya suggestions me,  tabse dekhne lage😂😂."
394,Kya shoot h
395,Bro which software you use for editing and from where you learn this type of editing skills?
396,"Man the video production quality is by far the best i have seen for an indian youtuber , the effort he put in this is amazing. I am sure this guy is gonna blow up on youtube very soon."
